id,status,asset_type,chapter_number,chapter_title,paragraph_index,placeholder,nearby_context,prompt,manual_input_required,notes
ASSET-001,needs_input,content_placeholder,,Front matter or end matter,4,[Placeholder],Publisher's Edition | Copyright | Title Page,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Publisher's Edition | Copyright | Title Page. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-002,needs_input,content_placeholder,,Front matter or end matter,7,[Placeholder],Title Page | Table of Contents (Update Field in Word),Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Title Page | Table of Contents (Update Field in Word). Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-003,needs_input,content_placeholder,,Front matter or end matter,10,[Placeholder],Table of Contents (Update Field in Word) | Foreword,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Table of Contents (Update Field in Word) | Foreword. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-004,needs_input,content_placeholder,,Front matter or end matter,13,[Placeholder],Foreword | Preface,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Foreword | Preface. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-005,needs_input,content_placeholder,,Front matter or end matter,16,[Placeholder],Preface,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Preface. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-006,needs_input,content_placeholder,,Front matter or end matter,35,[Placeholder],Appendix | QR Navigation Directory,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Appendix | QR Navigation Directory. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-007,needs_input,qr_code,,Front matter or end matter,38,[QR Code Directory Placeholder],QR Navigation Directory | Index Placeholder,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: QR Navigation Directory | Index Placeholder. A verified destination URL is required before creating a QR code.,True,A verified destination URL is required before creating a QR code.
ASSET-008,needs_input,content_placeholder,,Front matter or end matter,39,[Placeholder],QR Navigation Directory | Index Placeholder,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: QR Navigation Directory | Index Placeholder. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-009,needs_input,content_placeholder,,Front matter or end matter,42,[Placeholder],Index Placeholder | Back Cover,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Index Placeholder | Back Cover. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-010,needs_input,content_placeholder,,Front matter or end matter,45,[Placeholder],Back Cover | CHAPTER 1 | Foundations of the Journey,Vietnam Adventure 2026 travel handbook. Context: Front matter or end matter. Nearby handbook content: Back Cover | CHAPTER 1 | Foundations of the Journey. Review the source content and define the required replacement.,True,Review the source content and define the required replacement.
ASSET-011,ready_for_generation,hero_image,1,Foundations of the Journey,47,[Hero Image Placeholder – Full-width chapter opener],Back Cover | CHAPTER 1 | Foundations of the Journey,"Vietnam Adventure 2026 travel handbook. Context: Chapter 1: Foundations of the Journey. Nearby handbook content: Back Cover | CHAPTER 1 | Foundations of the Journey. Create a premium documentary travel-photography hero image, landscape 16:9, authentic Vietnam setting relevant to the context, warm natural light, sophisticated editorial composition, no text, no logos, no watermarks, no collage.",False,Create as a 16:9 editorial travel image.
